"Časovno obdobje per 12 hours","Št. vozil","Povpr. hitrost","Najvišja hitrost","Percentil 85","Št. vseh (več od 50 km/h)","Št. vseh (več od 60 km/h)","Št. vseh (več od 70 km/h)","Št. vseh (več kot 80 km/h)","Št. vseh (več od 90 km/h)","Št. vseh (100 ali več)"
"2024-07-11 00:00",176,"41.233",82,49,22,2,1,1,0,
"2024-07-11 12:00",819,"41.899",73,50,113,11,2,0,0,
"2024-07-12 00:00",572,"41.302",90,50,83,13,4,1,0,
"2024-07-12 12:00",806,"41.648",72,50,107,10,1,0,0,
"2024-07-13 00:00",407,"41.69",70,51,65,5,0,0,0,
"2024-07-13 12:00",610,"42.916",70,51,101,13,0,0,0,
"2024-07-14 00:00",299,"41.906",66,51,48,4,0,0,0,
"2024-07-14 12:00",536,"42.841",73,52,94,5,1,0,0,
"2024-07-15 00:00",581,"41.151",80,50,67,9,3,0,0,
"2024-07-15 12:00",721,"41.72",87,50,95,3,2,1,0,
"2024-07-16 00:00",566,"41.534",74,50,80,6,2,0,0,
"2024-07-16 12:00",748,"42.028",73,50,106,9,2,0,0,
"2024-07-17 00:00",557,"36.899",87,46,42,7,3,1,0,
"2024-07-17 12:00",808,"41.285",73,50,105,11,2,0,0,
"2024-07-18 00:00",561,"40.547",73,50,66,5,2,0,0,
"2024-07-18 12:00",779,"41.438",77,50,87,7,1,0,0,
"2024-07-19 00:00",586,"40.947",66,50,75,9,0,0,0,
"2024-07-19 12:00",728,"42.646",77,51,122,13,1,0,0,
"2024-07-20 00:00",371,"40.984",78,49,39,6,2,0,0,
"2024-07-20 12:00",536,"42.144",72,50,76,10,1,0,0,
"2024-07-21 00:00",279,"40.1",66,49,29,4,0,0,0,
"2024-07-21 12:00",537,"41.577",70,51,81,8,0,0,0,
"2024-07-22 00:00",579,"41.547",94,50,68,9,3,2,1,
"2024-07-22 12:00",699,"41.134",67,50,94,8,0,0,0,
"2024-07-23 00:00",585,"41.051",87,50,77,4,2,2,0,
"2024-07-23 12:00",577,"42.052",66,50,79,7,0,0,0,
"2024-07-24 00:00",525,"40.636",73,49,50,6,3,0,0,
"2024-07-24 12:00",707,"40.789",69,49,86,5,0,0,0,
"2024-07-25 00:00",523,"40.79",72,50,68,7,1,0,0,
"2024-07-25 12:00",659,"41.607",77,50,92,10,3,0,0,
"2024-07-26 00:00",556,"40.856",76,49,69,8,1,0,0,
"2024-07-26 12:00",752,"41.875",64,50,108,5,0,0,0,
"2024-07-27 00:00",389,"42.37",76,52,74,14,3,0,0,
"2024-07-27 12:00",590,"42.068",84,50,85,11,2,1,0,
"2024-07-28 00:00",281,"39.758",62,49,30,1,0,0,0,
"2024-07-28 12:00",375,"42.005",74,50,48,9,2,0,0,
"2024-07-29 00:00",481,"40.634",82,49,50,3,2,1,0,
"2024-07-29 12:00",987,"42.779",73,51,162,11,2,0,0,
"2024-07-30 00:00",519,"39.967",66,49,48,8,0,0,0,
"2024-07-30 12:00",657,"41.836",72,50,83,8,1,0,0,
"2024-07-31 00:00",500,"40.546",85,50,60,7,2,1,0,
"2024-07-31 12:00",678,"41.274",66,50,87,12,0,0,0,
"2024-08-01 00:00",541,"40.017",69,49,53,7,0,0,0,
"2024-08-01 12:00",613,"41.812",63,50,77,3,0,0,0,
"2024-08-02 00:00",513,"40.589",64,49,53,2,0,0,0,
"2024-08-02 12:00",676,"41.75",71,50,88,10,1,0,0,
"2024-08-03 00:00",373,"42.005",72,50,55,8,1,0,0,
"2024-08-03 12:00",560,"41.646",76,50,78,6,1,0,0,
"2024-08-04 00:00",278,"41.061",70,50,38,6,0,0,0,
"2024-08-04 12:00",463,"41.706",73,50,68,4,1,0,0,
"2024-08-05 00:00",547,"39.479",76,48,44,9,2,0,0,
"2024-08-05 12:00",674,"41.07",64,50,86,5,0,0,0,
"2024-08-06 00:00",543,"40.085",80,48,41,4,2,0,0,
"2024-08-06 12:00",765,"41.337",65,50,94,7,0,0,0,
"2024-08-07 00:00",500,"39.996",74,48,49,4,2,0,0,
"2024-08-07 12:00",658,"41.909",65,50,89,9,0,0,0,
"2024-08-08 00:00",515,"40.369",79,48,41,8,2,0,0,
"2024-08-08 12:00",678,"41.909",76,50,99,9,1,0,0,
"2024-08-09 00:00",566,"40.514",72,49,56,4,1,0,0,
"2024-08-09 12:00",778,"41.765",69,50,105,11,0,0,0,
"2024-08-10 00:00",386,"42.508",80,51,66,9,1,0,0,
"2024-08-10 12:00",625,"41.982",64,50,83,4,0,0,0,
"2024-08-11 00:00",295,"41.197",72,50,43,10,2,0,0,
"2024-08-11 12:00",511,"42.765",73,51,93,8,1,0,0,
"2024-08-12 00:00",541,"40.667",75,49,63,6,1,0,0,
"2024-08-12 12:00",781,"41.94",70,50,105,11,0,0,0,
"2024-08-13 00:00",528,"40.79",87,50,57,6,1,1,0,
"2024-08-13 12:00",737,"42.155",77,50,98,6,1,0,0,
"2024-08-14 00:00",596,"41.116",78,49,77,8,3,0,0,
"2024-08-14 12:00",751,"42.206",66,50,112,7,0,0,0,
"2024-08-15 00:00",283,"41.442",82,52,50,4,1,1,0,
"2024-08-15 12:00",564,"42.821",72,51,87,9,3,0,0,
"2024-08-16 00:00",515,"40.637",71,49,62,11,1,0,0,
"2024-08-16 12:00",711,"42.394",71,51,117,10,1,0,0,
