"Časovno obdobje per 12 hours","Št. vozil","Povpr. hitrost","Najvišja hitrost","Percentil 85","Št. vseh (več od 50 km/h)","Št. vseh (več od 60 km/h)","Št. vseh (več od 70 km/h)","Št. vseh (več kot 80 km/h)","Št. vseh (več od 90 km/h)","Št. vseh (100 ali več)"
"2024-07-11 00:00",168,"31.744",42,36,0,0,0,0,0,
"2024-07-11 12:00",800,"31.766",56,37,3,0,0,0,0,
"2024-07-12 00:00",542,"31.792",62,37,4,1,0,0,0,
"2024-07-12 12:00",767,"32.364",58,37,1,0,0,0,0,
"2024-07-13 00:00",425,"32.285",54,37,1,0,0,0,0,
"2024-07-13 12:00",559,"32.535",50,38,0,0,0,0,0,
"2024-07-14 00:00",339,"32.401",66,37,1,1,0,0,0,
"2024-07-14 12:00",463,"32.592",55,38,1,0,0,0,0,
"2024-07-15 00:00",546,"32.399",57,38,3,0,0,0,0,
"2024-07-15 12:00",775,"32.048",53,37,2,0,0,0,0,
"2024-07-16 00:00",536,"32.192",61,38,3,1,0,0,0,
"2024-07-16 12:00",711,"31.782",51,37,1,0,0,0,0,
"2024-07-17 00:00",495,"29.404",63,36,2,1,0,0,0,
"2024-07-17 12:00",820,"31.011",51,37,1,0,0,0,0,
"2024-07-18 00:00",554,"30.677",61,37,1,1,0,0,0,
"2024-07-18 12:00",810,"31.333",51,37,1,0,0,0,0,
"2024-07-19 00:00",569,"31.663",62,37,2,1,0,0,0,
"2024-07-19 12:00",739,"31.101",72,37,2,1,1,0,0,
"2024-07-20 00:00",395,"30.109",45,36,0,0,0,0,0,
"2024-07-20 12:00",535,"32.293",50,37,0,0,0,0,0,
"2024-07-21 00:00",311,"32.431",63,37,2,1,0,0,0,
"2024-07-21 12:00",434,"32.214",49,38,0,0,0,0,0,
"2024-07-22 00:00",475,"31.956",73,38,3,2,1,0,0,
"2024-07-22 12:00",740,"31.224",48,37,0,0,0,0,0,
"2024-07-23 00:00",539,"31.638",79,36,2,1,1,0,0,
"2024-07-23 12:00",648,"29.801",49,36,0,0,0,0,0,
"2024-07-24 00:00",487,"31.856",49,37,0,0,0,0,0,
"2024-07-24 12:00",731,"31.33",67,36,1,1,0,0,0,
"2024-07-25 00:00",477,"31.811",55,37,3,0,0,0,0,
"2024-07-25 12:00",715,"31.547",60,37,2,0,0,0,0,
"2024-07-26 00:00",513,"31.776",66,37,2,1,0,0,0,
"2024-07-26 12:00",767,"32.163",65,37,3,1,0,0,0,
"2024-07-27 00:00",423,"32.504",49,38,0,0,0,0,0,
"2024-07-27 12:00",542,"32.234",69,38,3,1,0,0,0,
"2024-07-28 00:00",309,"31.929",64,37,2,1,0,0,0,
