"Čas per 12 hours","Smer (1 = v, 0 = iz)","Tip vozil","Št. vseh vozil"
"2024-07-11 00:00",0,"Osebni avtomobil",162
"2024-07-11 00:00",0,"Kombinirano vozilo",9
"2024-07-11 00:00",0,"Enosledno vozilo",3
"2024-07-11 00:00",0,"Težje tovorno vozilo",2
"2024-07-11 00:00",1,"Osebni avtomobil",157
"2024-07-11 00:00",1,"Kombinirano vozilo",7
"2024-07-11 00:00",1,"Enosledno vozilo",2
"2024-07-11 00:00",1,"Težje tovorno vozilo",2
"2024-07-11 12:00",0,"Osebni avtomobil",781
"2024-07-11 12:00",0,"Kombinirano vozilo",19
"2024-07-11 12:00",0,"Enosledno vozilo",14
"2024-07-11 12:00",0,"Težje tovorno vozilo",4
"2024-07-11 12:00",0,"Tovorno vozilo s prikolico",1
"2024-07-11 12:00",1,"Osebni avtomobil",757
"2024-07-11 12:00",1,"Težje tovorno vozilo",17
"2024-07-11 12:00",1,"Kombinirano vozilo",14
"2024-07-11 12:00",1,"Enosledno vozilo",12
"2024-07-12 00:00",0,"Osebni avtomobil",527
"2024-07-12 00:00",0,"Kombinirano vozilo",25
"2024-07-12 00:00",0,"Težje tovorno vozilo",13
"2024-07-12 00:00",0,"Enosledno vozilo",7
"2024-07-12 00:00",1,"Osebni avtomobil",502
"2024-07-12 00:00",1,"Kombinirano vozilo",25
"2024-07-12 00:00",1,"Težje tovorno vozilo",11
"2024-07-12 00:00",1,"Enosledno vozilo",4
"2024-07-12 12:00",0,"Osebni avtomobil",766
"2024-07-12 12:00",0,"Kombinirano vozilo",24
"2024-07-12 12:00",0,"Enosledno vozilo",13
"2024-07-12 12:00",0,"Težje tovorno vozilo",3
"2024-07-12 12:00",1,"Osebni avtomobil",743
"2024-07-12 12:00",1,"Enosledno vozilo",11
"2024-07-12 12:00",1,"Težje tovorno vozilo",10
"2024-07-12 12:00",1,"Kombinirano vozilo",3
"2024-07-13 00:00",1,"Osebni avtomobil",413
"2024-07-13 00:00",1,"Enosledno vozilo",6
"2024-07-13 00:00",1,"Kombinirano vozilo",5
"2024-07-13 00:00",1,"Težje tovorno vozilo",1
"2024-07-13 00:00",0,"Osebni avtomobil",389
"2024-07-13 00:00",0,"Kombinirano vozilo",14
"2024-07-13 00:00",0,"Enosledno vozilo",3
"2024-07-13 00:00",0,"Težje tovorno vozilo",1
"2024-07-13 12:00",0,"Osebni avtomobil",587
"2024-07-13 12:00",0,"Enosledno vozilo",12
"2024-07-13 12:00",0,"Kombinirano vozilo",11
"2024-07-13 12:00",1,"Osebni avtomobil",540
"2024-07-13 12:00",1,"Enosledno vozilo",9
"2024-07-13 12:00",1,"Kombinirano vozilo",7
"2024-07-13 12:00",1,"Težje tovorno vozilo",3
"2024-07-14 00:00",1,"Osebni avtomobil",326
"2024-07-14 00:00",1,"Kombinirano vozilo",7
"2024-07-14 00:00",1,"Enosledno vozilo",4
"2024-07-14 00:00",1,"Težje tovorno vozilo",2
"2024-07-14 00:00",0,"Osebni avtomobil",286
"2024-07-14 00:00",0,"Kombinirano vozilo",5
"2024-07-14 00:00",0,"Enosledno vozilo",4
"2024-07-14 00:00",0,"Težje tovorno vozilo",4
"2024-07-14 12:00",0,"Osebni avtomobil",520
"2024-07-14 12:00",0,"Enosledno vozilo",12
"2024-07-14 12:00",0,"Kombinirano vozilo",3
"2024-07-14 12:00",0,"Težje tovorno vozilo",1
"2024-07-14 12:00",1,"Osebni avtomobil",443
"2024-07-14 12:00",1,"Enosledno vozilo",10
"2024-07-14 12:00",1,"Težje tovorno vozilo",6
"2024-07-14 12:00",1,"Kombinirano vozilo",4
"2024-07-15 00:00",0,"Osebni avtomobil",540
"2024-07-15 00:00",0,"Kombinirano vozilo",25
"2024-07-15 00:00",0,"Enosledno vozilo",8
"2024-07-15 00:00",0,"Težje tovorno vozilo",8
