"Časovno obdobje per 12 hours","Št. vozil","Povpr. hitrost","Najvišja hitrost","Percentil 85","Št. vseh (več od 50 km/h)","Št. vseh (več od 60 km/h)","Št. vseh (več od 70 km/h)","Št. vseh (več kot 80 km/h)","Št. vseh (več od 90 km/h)","Št. vseh (100 ali več)"
"2023-08-03 12:00",607,"48.787",77,56,249,44,5,0,0,
"2023-08-04 00:00",134,"48.187",89,56,53,12,2,1,0,
"2023-08-04 12:00",306,"49.258",78,58,141,33,5,0,0,
"2023-08-05 00:00",106,"49.038",78,57,39,8,1,0,0,
"2023-08-05 12:00",349,"49.45",84,57,145,28,4,2,0,
"2023-08-06 00:00",110,"49.7",72,60,57,16,1,0,0,
"2023-08-06 12:00",357,"50.028",75,57,165,32,3,0,0,
"2023-08-07 00:00",241,"51.938",89,60,137,30,6,2,0,
"2023-08-07 12:00",708,"49.605",85,56,295,43,8,1,0,
"2023-08-08 00:00",233,"49.893",87,57,106,22,9,2,0,
"2023-08-08 12:00",744,"49.383",85,57,324,50,7,1,0,
"2023-08-09 00:00",221,"50.538",80,58,98,23,6,0,0,
"2023-08-09 12:00",740,"49.484",80,56,296,36,6,0,0,
"2023-08-10 00:00",271,"49.919",72,57,121,21,2,0,0,
"2023-08-10 12:00",786,"50.065",99,57,366,66,11,3,2,
"2023-08-11 00:00",256,"51.199",92,58,131,28,7,2,1,
"2023-08-11 12:00",728,"49.902",82,58,340,54,9,3,0,
"2023-08-12 00:00",232,"50.108",75,59,120,27,6,0,0,
"2023-08-12 12:00",534,"48.607",86,56,206,34,9,1,0,
"2023-08-13 00:00",154,"48.571",73,58,78,11,1,0,0,
"2023-08-13 12:00",428,"49.591",85,57,199,31,9,4,0,
"2023-08-14 00:00",218,"50.702",75,59,114,27,4,0,0,
"2023-08-14 12:00",497,"49.312",85,57,220,38,8,2,0,
"2023-08-15 00:00",171,"47.708",82,58,66,20,3,1,0,
"2023-08-15 12:00",507,"49.286",81,57,216,51,13,1,0,
"2023-08-16 00:00",245,"48.824",70,57,97,15,0,0,0,
"2023-08-16 12:00",666,"50.081",88,57,306,50,8,2,0,
"2023-08-17 00:00",226,"48.987",71,56,91,22,1,0,0,
"2023-08-17 12:00",726,"49.916",80,57,327,54,11,0,0,
"2023-08-18 00:00",249,"50.667",89,58,115,24,3,1,0,
"2023-08-18 12:00",752,"49.523",98,57,324,54,7,2,1,
"2023-08-19 00:00",274,"50.172",85,59,126,34,6,1,0,
"2023-08-19 12:00",586,"49.41",82,58,256,51,6,1,0,
"2023-08-20 00:00",242,"47.467",86,57,87,24,3,1,0,
"2023-08-20 12:00",497,"49.352",102,57,218,46,9,2,1,102
"2023-08-21 00:00",262,"47.515",82,56,101,13,2,1,0,
"2023-08-21 12:00",819,"50.683",81,58,413,76,14,1,0,
"2023-08-22 00:00",285,"47.793",83,56,113,17,3,1,0,
"2023-08-22 12:00",826,"50.818",82,59,422,92,14,2,0,
"2023-08-23 00:00",262,51,74,58,132,29,5,0,0,
"2023-08-23 12:00",784,"50.897",92,58,401,65,14,2,1,
"2023-08-24 00:00",288,"50.587",80,59,144,30,4,0,0,
"2023-08-24 12:00",851,"49.985",85,57,392,71,9,1,0,
"2023-08-25 00:00",297,"49.337",81,57,139,24,4,2,0,
"2023-08-25 12:00",785,"50.87",81,58,409,73,8,1,0,
"2023-08-26 00:00",239,"49.021",86,59,118,26,6,1,0,
"2023-08-26 12:00",499,"51.259",105,58,275,49,8,2,1,105
"2023-08-27 00:00",198,"48.727",91,58,96,18,4,3,1,
"2023-08-27 12:00",508,"50.543",88,58,244,59,14,1,0,
"2023-08-28 00:00",315,"51.105",84,59,163,38,6,1,0,
"2023-08-28 12:00",461,"49.779",76,57,196,39,7,0,0,
"2023-08-29 00:00",204,"50.461",76,60,94,29,5,0,0,
"2023-08-29 12:00",727,"50.539",93,57,339,56,15,3,1,
"2023-08-30 00:00",252,"49.643",86,57,104,17,3,1,0,
"2023-08-30 12:00",733,"50.456",79,57,337,58,13,0,0,
"2023-08-31 00:00",291,"50.436",78,57,143,22,1,0,0,
"2023-08-31 12:00",766,"50.689",86,58,385,71,14,2,0,
"2023-09-01 00:00",279,"49.882",80,58,122,28,3,0,0,
"2023-09-01 12:00",786,"50.906",100,58,391,82,13,3,1,100
"2023-09-02 00:00",258,"48.69",84,57,97,20,5,2,0,
"2023-09-02 12:00",574,"49.037",80,57,241,49,9,0,0,
"2023-09-03 00:00",232,"49.095",76,58,106,22,7,0,0,
"2023-09-03 12:00",478,"50.387",85,59,222,53,7,1,0,
"2023-09-04 00:00",275,"49.276",76,58,121,27,2,0,0,
"2023-09-04 12:00",768,"50.445",104,58,388,67,10,3,1,104
"2023-09-05 00:00",270,"50.685",87,60,140,34,2,1,0,
"2023-09-05 12:00",796,"51.171",86,59,417,89,13,2,0,
"2023-09-06 00:00",277,"50.552",81,58,136,27,4,1,0,
"2023-09-06 12:00",806,"50.335",80,57,412,58,12,0,0,
"2023-09-07 00:00",270,"50.967",81,58,138,29,4,1,0,
"2023-09-07 12:00",766,"51.116",87,59,381,85,18,2,0,
"2023-09-08 00:00",280,"51.454",87,60,139,40,12,2,0,
"2023-09-08 12:00",784,"50.858",84,58,403,64,10,1,0,
"2023-09-09 00:00",251,"48.789",81,59,101,27,4,1,0,
"2023-09-09 12:00",617,"49.395",87,57,269,66,10,1,0,
"2023-09-10 00:00",180,"48.972",82,57,76,16,5,1,0,
"2023-09-10 12:00",502,"49.375",86,58,245,47,12,2,0,
"2023-09-11 00:00",273,"50.773",74,59,137,31,4,0,0,
"2023-09-11 12:00",785,"51.357",83,58,412,85,16,2,0,
"2023-09-12 00:00",267,"50.052",72,58,137,28,1,0,0,
"2023-09-12 12:00",827,"50.707",86,57,412,62,10,2,0,
"2023-09-13 00:00",305,"49.662",81,57,139,24,4,1,0,
"2023-09-13 12:00",807,"51.079",88,59,399,88,24,2,0,
"2023-09-14 00:00",266,"50.056",85,57,120,22,2,1,0,
"2023-09-14 12:00",808,"50.58",117,57,400,67,10,3,1,117
"2023-09-15 00:00",251,"50.068",74,58,124,18,3,0,0,
"2023-09-15 12:00",860,"50.684",102,58,417,86,16,6,2,102
"2023-09-16 00:00",225,"50.44",80,59,112,27,8,0,0,
"2023-09-16 12:00",560,"50.113",82,58,249,55,14,2,0,
"2023-09-17 00:00",175,"50.149",75,57,89,13,2,0,0,
"2023-09-17 12:00",507,"50.032",77,57,247,45,8,0,0,
"2023-09-18 00:00",247,"51.3",82,59,134,25,5,1,0,
"2023-09-18 12:00",750,"50.896",105,58,385,66,14,2,1,105
"2023-09-19 00:00",242,"50.426",74,59,113,26,7,0,0,
"2023-09-19 12:00",835,"50.55",89,58,400,78,8,3,0,
"2023-09-20 00:00",270,"51.244",78,60,145,40,4,0,0,
"2023-09-20 12:00",790,"50.581",92,58,392,76,11,1,1,
"2023-09-21 00:00",266,"51.628",91,60,146,37,7,1,1,
"2023-09-21 12:00",727,"50.752",96,57,349,47,14,5,1,
"2023-09-22 00:00",271,"51.576",87,59,148,24,5,1,0,
"2023-09-22 12:00",683,"50.307",102,58,292,67,7,1,1,102
"2023-09-23 00:00",159,"49.849",80,57,68,9,1,0,0,
"2023-09-23 12:00",517,"50.412",84,57,246,41,6,1,0,
"2023-09-24 00:00",159,"48.623",74,56,67,7,1,0,0,
"2023-09-24 12:00",418,"50.218",86,57,184,35,6,1,0,
"2023-09-25 00:00",286,"50.948",86,59,151,29,1,1,0,
"2023-09-25 12:00",790,"50.543",88,58,402,68,12,1,0,
"2023-09-26 00:00",260,"48.912",81,58,114,19,5,1,0,
"2023-09-26 12:00",843,"50.18",80,57,388,53,16,0,0,
"2023-09-27 00:00",286,"50.038",89,57,140,27,6,1,0,
"2023-09-27 12:00",843,"50.454",82,58,404,75,12,1,0,
"2023-09-28 00:00",281,"51.573",73,59,151,25,2,0,0,
"2023-09-28 12:00",888,"50.434",81,58,420,72,13,1,0,
"2023-09-29 00:00",274,"49.628",83,56,121,21,5,1,0,
"2023-09-29 12:00",797,"50.473",89,58,378,84,20,3,0,
"2023-09-30 00:00",246,"49.366",78,57,108,19,4,0,0,
"2023-09-30 12:00",526,"50.367",78,57,236,44,5,0,0,
"2023-10-01 00:00",177,"50.542",85,60,80,24,2,1,0,
"2023-10-01 12:00",554,"50.388",81,59,267,65,7,1,0,
"2023-10-02 00:00",277,"51.267",78,59,144,35,7,0,0,
"2023-10-02 12:00",787,"50.912",97,58,392,68,18,3,1,
"2023-10-03 00:00",254,"50.657",97,59,130,29,2,1,1,
"2023-10-03 12:00",829,"50.525",90,58,416,72,13,3,0,
"2023-10-04 00:00",271,"51.756",75,59,150,31,3,0,0,
"2023-10-04 12:00",739,"50.947",84,58,366,74,11,2,0,
"2023-10-05 00:00",316,"51.196",79,59,168,32,6,0,0,
"2023-10-05 12:00",846,"50.665",91,58,413,81,12,1,1,
"2023-10-06 00:00",253,"51.336",88,59,134,28,8,3,0,
"2023-10-06 12:00",857,"50.504",84,57,416,65,14,2,0,
"2023-10-07 00:00",249,"50.253",77,58,124,25,6,0,0,
"2023-10-07 12:00",566,"51.124",108,58,287,58,17,4,2,108
"2023-10-08 00:00",178,"49.494",90,58,74,18,5,2,0,
"2023-10-08 12:00",557,"49.045",83,57,236,47,5,1,0,
"2023-10-09 00:00",279,"50.627",80,58,134,31,6,0,0,
"2023-10-09 12:00",743,"49.646",89,56,323,57,7,1,0,
"2023-10-10 00:00",266,"50.703",77,58,123,23,8,0,0,
"2023-10-10 12:00",836,"50.376",105,58,398,85,11,5,2,105
"2023-10-11 00:00",0,,,,0,0,0,0,0,
"2023-10-11 12:00",379,"51.032",93,59,202,34,6,2,1,
"2023-10-12 00:00",265,"51.347",82,59,152,34,4,1,0,
"2023-10-12 12:00",775,"50.863",81,58,411,72,11,1,0,
"2023-10-13 00:00",262,"51.111",91,60,139,37,8,2,1,
"2023-10-13 12:00",763,"49.869",89,57,356,67,10,3,0,
"2023-10-14 00:00",243,"51.819",83,61,136,39,5,3,0,
"2023-10-14 12:00",557,"49.467",81,57,224,53,12,1,0,
"2023-10-15 00:00",61,"48.738",70,55,24,3,0,0,0,
"2023-10-15 12:00",265,"49.838",79,57,117,20,6,0,0,
"2023-10-16 00:00",270,"51.167",76,58,139,27,4,0,0,
"2023-10-16 12:00",750,"50.688",104,58,348,76,15,2,1,104
"2023-10-17 00:00",225,"51.067",74,58,108,28,5,0,0,
"2023-10-17 12:00",747,"51.38",128,58,378,68,13,4,2,119
"2023-10-18 00:00",254,"51.134",91,57,133,23,6,1,1,
"2023-10-18 12:00",758,"51.938",101,59,387,85,19,9,1,101
"2023-10-19 00:00",229,"50.633",75,59,104,28,2,0,0,
"2023-10-19 12:00",659,"50.296",95,57,308,56,7,2,1,
"2023-10-20 00:00",221,"50.706",86,59,97,24,6,2,0,
"2023-10-20 12:00",742,"51.71",86,59,398,81,16,2,0,
"2023-10-21 00:00",209,"51.861",77,60,117,27,5,0,0,
"2023-10-21 12:00",580,"50.759",81,58,274,53,10,1,0,
"2023-10-22 00:00",149,"50.081",85,62,63,23,3,1,0,
"2023-10-22 12:00",501,"49.633",92,57,226,39,6,2,1,
"2023-10-23 00:00",256,"50.773",79,60,128,34,4,0,0,
"2023-10-23 12:00",737,"51.231",98,58,383,70,6,3,2,
"2023-10-24 00:00",228,"51.395",79,59,115,30,3,0,0,
"2023-10-24 12:00",435,"48.531",76,56,171,22,2,0,0,
"2023-10-25 00:00",219,"50.416",78,58,97,20,3,0,0,
"2023-10-25 12:00",712,"51.899",98,59,383,72,15,3,1,
"2023-10-26 00:00",239,"50.862",74,60,119,32,2,0,0,
"2023-10-26 12:00",763,"50.308",76,57,343,60,8,0,0,
"2023-10-27 00:00",150,"49.993",75,59,79,18,4,0,0,
"2023-10-27 12:00",686,"51.246",90,58,355,66,12,3,0,
"2023-10-28 00:00",167,"51.802",85,59,92,22,5,2,0,
"2023-10-28 12:00",491,"50.984",100,59,247,65,7,2,1,100
"2023-10-29 00:00",156,"51.282",81,59,81,19,3,1,0,
"2023-10-29 12:00",381,"50.244",82,57,183,32,2,1,0,
"2023-10-30 00:00",189,"50.963",76,58,94,20,4,0,0,
