"Časovno obdobje per 12 hours","Št. vozil","Povpr. hitrost","Najvišja hitrost","Percentil 85","Št. vseh (več od 50 km/h)","Št. vseh (več od 60 km/h)","Št. vseh (več od 70 km/h)","Št. vseh (več kot 80 km/h)","Št. vseh (več od 90 km/h)","Št. vseh (100 ali več)"
"2023-08-03 12:00",356,"48.135",105,59,165,44,12,5,3,105
"2023-08-04 00:00",430,"37.758",104,57,123,39,8,4,3,104
"2023-08-04 12:00",394,"32.127",75,54,98,25,2,0,0,
"2023-08-05 00:00",246,"43.687",80,57,91,28,5,0,0,
"2023-08-05 12:00",339,"46.891",75,59,135,37,5,0,0,
"2023-08-06 00:00",204,"51.721",81,60,116,23,6,1,0,
"2023-08-06 12:00",283,"50.332",75,59,144,37,5,0,0,
"2023-08-07 00:00",539,"52.913",96,61,336,87,14,3,1,
"2023-08-07 12:00",483,"51.615",91,60,258,60,13,3,1,
"2023-08-08 00:00",533,"52.231",83,60,295,77,14,2,0,
"2023-08-08 12:00",482,"51.079",90,59,243,57,15,5,0,
"2023-08-09 00:00",551,"52.407",82,61,311,91,18,1,0,
"2023-08-09 12:00",499,"51.381",90,60,260,65,18,4,0,
"2023-08-10 00:00",551,"52.397",86,61,304,85,18,2,0,
"2023-08-10 12:00",522,"52.333",96,61,287,89,22,6,1,
"2023-08-11 00:00",540,"52.73",82,61,308,82,22,1,0,
"2023-08-11 12:00",514,"51.617",110,61,274,79,19,2,1,110
"2023-08-12 00:00",358,"51.274",81,60,198,50,13,2,0,
"2023-08-12 12:00",413,"50.562",89,60,198,56,13,4,0,
"2023-08-13 00:00",238,"50.34",87,60,115,34,9,2,0,
"2023-08-13 12:00",362,"51.061",100,60,176,52,13,5,3,100
"2023-08-14 00:00",312,"51.202",84,61,165,47,13,3,0,
"2023-08-14 12:00",404,"51.96",101,62,220,76,21,4,1,101
"2023-08-15 00:00",270,"51.726",90,62,147,48,10,3,0,
"2023-08-15 12:00",378,"51.151",90,60,206,56,7,2,0,
"2023-08-16 00:00",599,"52.237",85,60,333,88,20,2,0,
"2023-08-16 12:00",417,"52.422",128,62,232,73,20,5,2,128
"2023-08-17 00:00",590,"51.998",89,60,331,83,14,4,0,
"2023-08-17 12:00",476,"51.46",85,61,251,73,11,2,0,
"2023-08-18 00:00",585,"52.246",102,60,327,81,16,4,1,102
"2023-08-18 12:00",527,"51.791",90,62,290,94,25,7,0,
"2023-08-19 00:00",398,"51.779",93,61,220,63,12,4,1,
"2023-08-19 12:00",468,"51.068",92,62,231,83,19,5,1,
"2023-08-20 00:00",252,"50.44",83,60,123,33,6,1,0,
"2023-08-20 12:00",399,"51.348",101,61,217,67,16,2,1,101
