"Čas per 12 hours","Smer (1 = v, 0 = iz)","Tip vozil","Št. vseh vozil"
"2023-08-03 12:00",0,"Osebni avtomobil",572
"2023-08-03 12:00",0,"Kombinirano vozilo",21
"2023-08-03 12:00",0,"Težje tovorno vozilo",14
"2023-08-03 12:00",1,"Osebni avtomobil",330
"2023-08-03 12:00",1,"Kombinirano vozilo",20
"2023-08-03 12:00",1,"Težje tovorno vozilo",5
"2023-08-03 12:00",1,"Nerazpoznana vozila",1
"2023-08-04 00:00",1,"Osebni avtomobil",380
"2023-08-04 00:00",1,"Kombinirano vozilo",32
"2023-08-04 00:00",1,"Težje tovorno vozilo",16
"2023-08-04 00:00",1,"Tovorno vozilo s prikolico",2
"2023-08-04 00:00",0,"Osebni avtomobil",119
"2023-08-04 00:00",0,"Težje tovorno vozilo",8
"2023-08-04 00:00",0,"Kombinirano vozilo",7
"2023-08-04 12:00",1,"Osebni avtomobil",343
"2023-08-04 12:00",1,"Kombinirano vozilo",31
"2023-08-04 12:00",1,"Težje tovorno vozilo",18
"2023-08-04 12:00",1,"Tovorno vozilo s prikolico",2
"2023-08-04 12:00",0,"Osebni avtomobil",286
"2023-08-04 12:00",0,"Težje tovorno vozilo",12
"2023-08-04 12:00",0,"Kombinirano vozilo",8
"2023-08-05 00:00",1,"Osebni avtomobil",236
"2023-08-05 00:00",1,"Kombinirano vozilo",7
"2023-08-05 00:00",1,"Težje tovorno vozilo",3
"2023-08-05 00:00",0,"Osebni avtomobil",94
"2023-08-05 00:00",0,"Kombinirano vozilo",8
"2023-08-05 00:00",0,"Težje tovorno vozilo",4
"2023-08-05 12:00",0,"Osebni avtomobil",335
"2023-08-05 12:00",0,"Kombinirano vozilo",9
"2023-08-05 12:00",0,"Težje tovorno vozilo",5
"2023-08-05 12:00",1,"Osebni avtomobil",325
"2023-08-05 12:00",1,"Kombinirano vozilo",8
"2023-08-05 12:00",1,"Težje tovorno vozilo",5
"2023-08-05 12:00",1,"Tovorno vozilo s prikolico",1
"2023-08-06 00:00",1,"Osebni avtomobil",189
"2023-08-06 00:00",1,"Kombinirano vozilo",10
"2023-08-06 00:00",1,"Težje tovorno vozilo",5
"2023-08-06 00:00",0,"Osebni avtomobil",105
"2023-08-06 00:00",0,"Kombinirano vozilo",3
"2023-08-06 00:00",0,"Težje tovorno vozilo",2
"2023-08-06 12:00",0,"Osebni avtomobil",339
"2023-08-06 12:00",0,"Kombinirano vozilo",16
"2023-08-06 12:00",0,"Težje tovorno vozilo",2
"2023-08-06 12:00",1,"Osebni avtomobil",270
"2023-08-06 12:00",1,"Kombinirano vozilo",8
"2023-08-06 12:00",1,"Težje tovorno vozilo",4
"2023-08-06 12:00",1,"Tovorno vozilo s prikolico",1
"2023-08-07 00:00",1,"Osebni avtomobil",507
"2023-08-07 00:00",1,"Kombinirano vozilo",24
"2023-08-07 00:00",1,"Težje tovorno vozilo",7
"2023-08-07 00:00",1,"Tovorno vozilo s prikolico",1
"2023-08-07 00:00",0,"Osebni avtomobil",212
"2023-08-07 00:00",0,"Kombinirano vozilo",19
"2023-08-07 00:00",0,"Težje tovorno vozilo",9
"2023-08-07 00:00",0,"Tovorno vozilo s prikolico",1
"2023-08-07 12:00",0,"Osebni avtomobil",645
"2023-08-07 12:00",0,"Kombinirano vozilo",48
"2023-08-07 12:00",0,"Težje tovorno vozilo",15
"2023-08-07 12:00",1,"Osebni avtomobil",457
"2023-08-07 12:00",1,"Kombinirano vozilo",22
"2023-08-07 12:00",1,"Težje tovorno vozilo",4
