# ----------------------------------------
# www.visit-trzic.com - GA4
# Najbolj obiskane strani-01_visit_trzic_mesecni_pregled.csv
# 20260525-20260724
# ----------------------------------------

Year,Month,Page title,Page path and screen class,Views,Views per active user,Active users,Event count,Key events,Average engagement time per session
,,,,28697,3.352844958523192,8559,59907,0,35.30222963483146,Grand total
2026,05,(not set),/sl/poti,1,1,1,1,0,0
2026,05,(not set),/sl/poti/poti-po-naravi/roznovenska-pot,1,1,1,1,0,0
2026,05,A Hike Along the Ridge of Slovenia’s Longest Mountain,/en/blog/a-hike-along-the-ridge-of-slovenias-longest-mountain,4,2,2,10,0,19
2026,05,ALPINEjka House,/en/accommodation/alpinejka-house,2,2,1,4,0,0
2026,05,ALPINEjka House,/sl/prenocisca/alpinejka-house,2,1,2,4,0,18.5
2026,05,Alja's place Apartma Manca,/sl/prenocisca/aljas-place-apartma-manca,2,1,2,3,0,9
2026,05,"Alm ""Lešanska planina""",/de/kulinarik/alm-lesanska-planina,2,2,1,5,0,10
2026,05,Altgutenberg,/sl/znamenitosti/kulturne-znamenitosti/altgutenberg,2,1,2,6,0,0
2026,05,An abundance of routes. Choose yours.,/en/paths,1,1,1,2,0,7
2026,05,Apartma BeeWood,/sl/prenocisca/apartma-beewood,1,1,1,1,0,0
2026,05,Apartma Jelendol,/sl/prenocisca/apartma-jelendol,2,2,1,4,0,0
2026,05,Apartma Kajža,/sl/prenocisca/apartma-kajza,2,2,1,4,0,0
2026,05,Apartment BeeWood,/de/unterkuenfte/apartment-beewood,1,1,1,2,0,30
2026,05,Attractions,/en/attractions,4,1,4,8,0,8.5
2026,05,Attrazioni,/it/attrazioni,1,1,1,1,0,0
2026,05,Attrazioni culturali,/it/attrazioni/attrazioni-culturali,1,1,1,1,0,0
2026,05,Attrazioni naturali,/it/attrazioni/attrazioni-naturali,4,1,4,6,0,9.25
2026,05,Aus Tržičer Kochtöpfen,/de/kulinarik,1,1,1,2,0,6
2026,05,Aussichtslehrpfad Dovžanova soteska,/de/wege/wege-in-der-natur/aussichtslehrpfad-dovzanova-soteska,4,4,1,9,0,63
2026,05,Balkan Campers - najem zabavnih VW kamperjev,/sl/aktivnosti/balkan-campers-najem-zabavnih-vw-kamperjev,12,2,6,24,0,0
2026,05,Base Camp,/en/accommodation/base-camp,2,2,1,5,0,4.5
2026,05,Bazni tabor (B&B),/sl/prenocisca/bazni-tabor-bb,1,1,1,1,0,0
2026,05,Bazni tabor: Planinarjenje po Tržiškem,/sl/aktivnosti/bazni-tabor-planinarjenje-po-trziskem,2,2,1,4,0,0
2026,05,Beneath Storžič,/en/paths/mountain-hikes/beneath-storzic,2,2,1,4,0,0
2026,05,Benvenuti a Tržič,/it,13,1.4444444444444444,9,20,0,7
2026,05,Bergtrail „Kriška gora trail“,/de/veranstaltungen/bergtrail-kriska-gora-trail,6,2,3,13,0,7.333333333333333
2026,05,Blog,/en/info,1,1,1,1,0,0
2026,05,Bornova pot na Prevalo,/sl/blog/bornova-pot-na-prevalo,31,1.9375,16,71,0,4.9
2026,05,Brezplačen turistični shuttle,/sl/aktivnosti/brezplacen-turisticni-shuttle-1,6,1.5,4,9,0,6.25
2026,05,Brošure,/sl/info/brosure,9,1.5,6,22,0,0.7
2026,05,Butterfly cottage by the creek,/sl/prenocisca/butterfly-cottage-by-the-creek,1,1,1,2,0,17
2026,05,Calendar of events,/en/events/calendar-of-events,3,1.5,2,6,0,3.5
2026,05,Camp Podljubelj,/de/unterkuenfte/camp-podljubelj,4,2,2,8,0,0
2026,05,Cesta na prelaz Ljubelj,/sl/poti/sankaske-poti/cesta-na-prelaz-ljubelj,8,2,4,16,0,15.5
2026,05,CheraHiking – doživite zmajeve poti po Karavankah,/sl/aktivnosti/cherahiking-dozivite-zmajeve-poti-po-karavankah,3,1.5,2,7,0,0
2026,05,CheraHiking – vivete i sentieri del drago sulle Caravanche,/it/attivita/cherahiking-vivete-i-sentieri-del-drago-sulle-caravanche,6,6,1,10,0,0
2026,05,Climbing,/en/activities/climbing,6,3,2,15,0,1.25
2026,05,Cobblers Sunday,/en/events/cobblers-sunday,1,1,1,3,0,0
2026,05,Come arrivare,/it/informazioni/come-arrivare,2,2,1,4,0,0
2026,05,Cultural attractions,/en/attractions/cultural-attractions,2,1,2,5,0,58.5
2026,05,Cycling routes,/en/paths/cycling-routes,10,3.3333333333333335,3,17,0,38.666666666666664
2026,05,D-OŽIVI SREDNJI VEK V ŽIGANJI VASI – Omnia cum tempore,/sl/prireditve/d-ozivi-srednji-vek-v-ziganji-vasi-omnia-cum-tempore,6,2,3,14,0,8.666666666666666
2026,05,Dal Pungrat sullo Šija,/it/sentieri/sentieri-alpini/dal-pungrat-sullo-sija,3,3,1,4,0,0
2026,05,Daljinska pohodniška pot Karavanke (Karavanke Trail),/sl/poti/pejmo-v-planine/daljinska-pohodniska-pot-karavanke-karavanke-trail,2,2,1,2,0,0
2026,05,Das Bergwerk Šentanski rudnik,/de/sehenswuerdigkeiten/naturliche-sehenswurdigkeiten/das-bergwerk-sentanski-rudnik,2,2,1,5,0,19
2026,05,Das Hammerwerk Germovka,/de/sehenswuerdigkeiten/kulturelle-sehenswurdigkeiten/das-hammerwerk-germovka,1,1,1,2,0,9
2026,05,"Das Lokal ""Moji štruklji Deteljica""",/de/kulinarik/das-lokal-moji-struklji-deteljica,5,1.6666666666666667,3,9,0,0
2026,05,Das unvergessliche Weihnachtsfest des Jakob Aljaž,/de/aktivitaeten/das-unvergessliche-weihnachtsfest-des-jakob-aljaz,2,2,1,4,0,0
2026,05,Der Berg Dobrča,/de/wege/wanderwege/der-berg-dobrca,2,2,1,4,0,0
2026,05,Der Berg Kofce,/de/wege/wanderwege/der-berg-kofce,5,1.6666666666666667,3,11,0,0
2026,05,Der Berg Koroschitza,/de/wege/wanderwege/der-berg-koroschitza,2,2,1,3,0,0
2026,05,Der Berg Kriška gora,/de/wege/wanderwege/der-berg-kriska-gora,3,3,1,6,0,284
2026,05,Der Lauf durch die Straßen von Tržič,/de/veranstaltungen/der-lauf-durch-die-strassen-von-trzic,1,1,1,1,0,0
2026,05,Der Loiblpass,/de/sehenswuerdigkeiten/kulturelle-sehenswurdigkeiten/der-loiblpass,49,2.130434782608696,23,108,0,30.416666666666668
2026,05,Der Luxus des Reisens. Wählen Sie selbst.,/sl/poti,0,0,1,1,0,11
2026,05,Der Strand vom Oberkrain - Gorenjska plaža,/de/aktivitaeten/der-strand-vom-oberkrain-gorenjska-plaza,4,4,1,7,0,0
2026,05,Die Altstadt,/de/sehenswuerdigkeiten/kulturelle-sehenswurdigkeiten/die-altstadt,2,2,1,4,0,0
2026,05,Die Berghütte - Koča na Kriški gori,/de/unterkuenfte/die-berghutte-koca-na-kriski-gori,2,2,1,4,0,0
2026,05,Die Berghütte - Planinski dom Kofce,/de/unterkuenfte/die-berghutte-planinski-dom-kofce,4,2,2,8,0,0
2026,05,Die Berghütte - Planinski dom na Zelenici,/de/unterkuenfte/die-berghutte-planinski-dom-na-zelenici,4,2,2,8,0,0
2026,05,Die Berghütte - Planinski dom pod Storžičem,/de/unterkuenfte/die-berghutte-planinski-dom-pod-storzicem,2,2,1,4,0,0
2026,05,Die Berghütte auf der Alm Koroschitza,/de/kulinarik/die-berghutte-auf-der-alm-koroschitza,2,2,1,5,0,11
