# ----------------------------------------
# www.visit-trzic.com - GA4
# Vstopne strani-01_visit_trzic_mesecni_pregled.csv
# 20260525-20260724
# ----------------------------------------

Year,Month,Landing page,Sessions,Engaged sessions,Active users,New users,Engagement rate,Key events,Average engagement time per session
,,,11392,7927,8559,8188,0.6958391853932584,0,35.30222963483146,Grand total
2026,06,/sl,620,383,501,439,0.617741935483871,0,45.72258064516129
2026,07,/sl,615,334,485,429,0.5430894308943089,0,47.076422764227644
2026,07,/sl/znamenitosti/naravne-znamenitosti/dovzanova-soteska,393,298,332,308,0.7582697201017812,0,40.37913486005089
2026,06,/sl/znamenitosti/naravne-znamenitosti/dovzanova-soteska,370,296,317,302,0.8,0,34.14594594594595
2026,07,/sl/aktivnosti/brezplacen-turisticni-shuttle-1,190,128,143,118,0.6736842105263158,0,29.678947368421053
2026,06,/sl/kulinarika/plansarija-na-planini-preval,167,128,148,144,0.7664670658682635,0,27.676646706586826
2026,06,/de/veranstaltungen/hrastov-memorial-internationales-bergstrassenrennen-der-oldtimer,165,119,128,124,0.7212121212121212,0,13.909090909090908
2026,07,/en,158,118,144,134,0.7468354430379747,0,38.22784810126582
2026,05,/sl,144,92,125,110,0.6388888888888888,0,53.354166666666664
2026,07,(not set),144,0,103,0,0,0,8.993055555555555
2026,06,/sl/poti/kolesarske-poti,142,102,103,80,0.7183098591549296,0,176.77464788732394
2026,06,/en/events/international-mountain-race-for-oldtimers-hrast-memorial,139,111,118,115,0.7985611510791367,0,10.201438848920864
2026,06,(not set),130,1,96,1,0.007692307692307693,0,2.2384615384615385
2026,06,/sl/prireditve/hrastov-memorial-mednarodni-gorski-preizkus-starodobnikov,130,94,108,100,0.7230769230769231,0,25.361538461538462
2026,07,/sl/kulinarika/plansarija-na-planini-preval,123,96,112,111,0.7804878048780488,0,29.73170731707317
2026,07,/sl/poti/kolesarske-poti,123,104,91,69,0.8455284552845529,0,121.6910569105691
2026,07,/en/attractions/natural-attractions/the-dovzan-gorge,121,88,99,94,0.7272727272727273,0,22.99173553719008
2026,06,/sl/aktivnosti/gorenjska-plaza,113,88,103,97,0.7787610619469026,0,12.610619469026549
2026,06,/sl/aktivnosti/brezplacen-turisticni-shuttle-1,107,77,88,80,0.719626168224299,0,28.869158878504674
2026,06,/en,97,82,92,86,0.845360824742268,0,65.12371134020619
2026,07,/sl/prireditve/sustarska-nedelja,94,76,82,74,0.8085106382978723,0,20.914893617021278
2026,06,/sl/prireditve/sustarska-nedelja,90,72,75,63,0.8,0,16.711111111111112
2026,06,/en/attractions/natural-attractions/the-dovzan-gorge,77,56,60,60,0.7272727272727273,0,29.675324675324674
2026,06,/sl/kulinarika/restavracija-firbc-okn,76,44,55,52,0.5789473684210527,0,6.421052631578948
2026,05,/sl/znamenitosti/naravne-znamenitosti/dovzanova-soteska,71,48,60,57,0.676056338028169,0,32.88732394366197
2026,06,/sl/kulinarika/gostisce-smuk,71,44,62,57,0.6197183098591549,0,18.633802816901408
2026,07,/sl/aktivnosti/gorenjska-plaza,69,48,59,55,0.6956521739130435,0,8.594202898550725
2026,07,/sl/kulinarika/plansarija-dolga-njiva,63,49,56,54,0.7777777777777778,0,25.41269841269841
2026,07,/sl/prireditve/seznam-prireditev,61,53,53,41,0.8688524590163934,0,71.34426229508196
2026,06,/sl/prireditve/seznam-prireditev,59,43,52,42,0.7288135593220338,0,18.966101694915253
2026,06,/sl/info/kontakt,57,36,44,34,0.631578947368421,0,15.75438596491228
2026,06,/sl/kulinarika/koca-na-planini-korosica,57,48,51,47,0.8421052631578947,0,19.05263157894737
2026,07,/de,57,51,54,46,0.8947368421052632,0,49.26315789473684
2026,06,/sl/blog/bornova-pot-na-prevalo,56,36,49,47,0.6428571428571429,0,52.267857142857146
2026,07,/sl/kulinarika/koca-na-planini-korosica,54,32,39,37,0.5925925925925926,0,22.166666666666668
2026,06,/de/sehenswuerdigkeiten/kulturelle-sehenswurdigkeiten/der-loiblpass,52,44,49,49,0.8461538461538461,0,19.884615384615383
2026,05,/sl/kulinarika/plansarija-na-planini-preval,49,38,43,41,0.7755102040816326,0,23.877551020408163
2026,06,/sl/znamenitosti/naravne-znamenitosti/sentanski-rudnik,48,37,38,31,0.7708333333333334,0,59.708333333333336
2026,07,/sl/poti/poti-po-naravi/orlova-pot-na-dolgi-njivi,48,8,8,8,0.16666666666666666,0,6.1875
2026,07,/de/sehenswuerdigkeiten/naturliche-sehenswurdigkeiten/die-schlucht-dovzanova-soteska,47,36,40,34,0.7659574468085106,0,46.95744680851064
2026,07,/sl/kulinarika/gostisce-smuk,47,32,41,40,0.6808510638297872,0,23.02127659574468
2026,07,/sl/poti/poti-po-naravi/razgledna-ucna-pot-dovzanova-soteska,47,32,42,38,0.6808510638297872,0,36.702127659574465
2026,06,/sl/kulinarika/plansarija-dolga-njiva,46,38,45,42,0.8260869565217391,0,28.58695652173913
2026,07,/de/kulinarik/die-hutte-am-alten-loibl,44,38,38,37,0.8636363636363636,0,25.431818181818183
2026,07,/sl/blog/bornova-pot-na-prevalo,44,33,42,37,0.75,0,36.22727272727273
2026,07,/sl/kulinarika/restavracija-firbc-okn,44,30,36,31,0.6818181818181818,0,12.659090909090908
2026,06,/de/sehenswuerdigkeiten/naturliche-sehenswurdigkeiten/die-schlucht-dovzanova-soteska,41,32,35,32,0.7804878048780488,0,52.90243902439025
2026,06,/en/activities/gorenjska-beach,41,30,31,30,0.7317073170731707,0,11.536585365853659
2026,06,/sl/poti/pejmo-v-planine/s-pungrata-do-sije,41,33,37,33,0.8048780487804879,0,48.46341463414634
