# ----------------------------------------
# www.visit-trzic.com - GA4
# Države obiskovalcev-UTRIP TRŽIČA
# 20260525-20260724
# ----------------------------------------

Year,Month,Country,Sessions,Engaged sessions,Active users,New users,Engagement rate,Average engagement time per session,Views
,,,11392,7927,8559,8188,0.6958391853932584,35.30222963483146,28697,Grand total
2026,06,Slovenia,3598,2565,2706,2534,0.7128960533629795,40.793774319066145,8798
2026,07,Slovenia,3199,2251,2307,2131,0.7036573929352923,43.01844326351985,8297
2026,05,Slovenia,743,528,596,544,0.7106325706594886,30.58008075370121,1751
2026,06,Austria,505,368,391,374,0.7287128712871287,22.057425742574257,1141
2026,07,Austria,336,270,271,264,0.8035714285714286,33.37797619047619,915
2026,07,United States,248,24,239,239,0.0967741935483871,2.0403225806451615,298
2026,06,Germany,244,185,205,200,0.7581967213114754,32.68852459016394,652
2026,07,Germany,240,184,193,183,0.7666666666666667,30.5125,1436
2026,06,United States,160,26,156,156,0.1625,5.03125,213
2026,06,Italy,155,111,126,123,0.7161290322580646,24.283870967741937,405
2026,07,Italy,138,108,112,110,0.782608695652174,32.65942028985507,401
2026,07,Netherlands,132,98,71,67,0.7424242424242424,32.47727272727273,465
2026,06,Poland,102,72,83,82,0.7058823529411765,27.666666666666668,221
2026,05,Austria,100,78,81,77,0.78,25.67,221
2026,06,Netherlands,98,59,75,69,0.6020408163265306,36.69387755102041,291
2026,06,Croatia,96,75,83,76,0.78125,17.59375,226
2026,07,Czechia,89,58,62,59,0.651685393258427,10.50561797752809,227
2026,06,Czechia,87,63,75,74,0.7241379310344828,24.96551724137931,222
2026,07,Croatia,79,51,61,59,0.6455696202531646,27.556962025316455,181
2026,05,Germany,69,55,56,51,0.7971014492753623,39.46376811594203,176
2026,07,Belgium,69,51,46,42,0.7391304347826086,50.2463768115942,218
2026,05,Italy,64,40,38,36,0.625,18.265625,162
2026,06,France,45,33,41,42,0.7333333333333333,56.2,111
2026,07,France,45,27,35,34,0.6,11,113
2026,06,Hungary,43,29,32,32,0.6744186046511628,30.837209302325583,100
2026,07,United Kingdom,41,22,31,30,0.5365853658536586,17.658536585365855,77
2026,07,Hungary,40,30,32,32,0.75,33.025,131
2026,06,United Kingdom,39,26,34,35,0.6666666666666666,9.384615384615385,77
2026,06,Spain,35,21,27,27,0.6,6.571428571428571,75
